mention_type,mention,pred
2,"có đó mom mình thấy sữa friso mát , tiêu hóa tốt mom thử đổi sưa xem sao",2.217240810394287
2,thương lắm m. m cho uống nan ha cũng tốt,1.7013037204742432
2,thu trúc mình cho uống similac cũng nhích nè mom,1.7181192636489868
2,mom giong con minh cung uong similac di phan xanh ne . mom cho uong similac loai gi . cua minh similac newborn . be mom may thang roi,5.048423767089844
2,uống pedia sure đi mom . con mình cingx còi . uống pedia nay thấy khác hẵn,1.6887333393096924
2,mom cho bé dùng meiji hoặc frisolac nhé mình thấy dùng meiji bé nhà mình cũng tăng cân và tiêu hóa tốt tăng cường hệ miễn dịch nữa,1.692810297012329
2,mom dùng similac xem . nhiều mẹ review lên cân tốt . dùng hàng nội địa của canada mát mà ko bị táo bón,4.757166862487793
2,mình thấy sieu thị có similac neosure việt . sữa đó dùng đc ko mom . bé minh bú __d__ ngày đc khoảng __d__-__d__ml thoi . mình cho ăn dặm được __d__ tuần ròi . mỗi ngày __d__ lần . vài thìa bột,4.930176734924316
2,giống bé chị rồi . chị cho uông similac đó em,1.7278169393539429
2,nan suprem có dễ uống ko mom ơi,1.8623132705688477
2,thu ha truong mua cho cu đi,4.824096202850342
2,similac thơm lắm mom ơi . nan mới tanh á,1.7630813121795654
2,"bạn mua similac dành cho nhẹ cân sinh non , bé nhà mik đẻ __d__.__d__kg giờ __d__kg con khổ sở tự ăn kiêng",3.285600185394287
2,nguyễn huyền sửa nan ma.sao mom kêu sửa lan.e cung cho bé uống sửa nan úc y mom,1.7451698780059814
2,"similac mới á , similac hmo , cái này còn giúp tăng đề kháng cho con nữa",1.8419694900512695
2,đúng rồi bạn cho uống friso đi mình cũng dặm cho con từ ss sữa này,5.0361247062683105
2,"con mom nhiu tháng rồi ? mom dùng enfa thử xem nah__d__ em dùng sữa này thấy con trvia lắm , ko táo nữa",3.9581825733184814
2,dương thanh nhàn cho uống sữa pediasure cũng lười ăn,1.8278907537460327
2,ko thì cho bé uống sữa nan ak . sữa đó ko táo bón,1.7627220153808594
2,lê diễmtrang similac hmo có tăng câm k m,4.663369655609131
2,"thanh dung trộm vía bé nhà mình hấp thu tốt mom ạ , optimum tiêu hoá tốt nên bổ sung thêm pediasure ko sợ bón . bé nhà mình đi học bị sút cân quá nên mình phải bổ sung thêm pediasure á , từ lúc __d__m tới giờ gần __d__m rồi",2.3738818168640137
2,pediasure vị socola bn hộp z chị,3.1271443367004395
2,cai sữa sớm vậy tội con mom ạ. cứ cho uống sữa mẹ cho con có sức đề kháng . cho con ăn dặm thêm sữa ngoài xo hoặc friso,4.0793256759643555
2,"similac advance á m , giống sưa mẹ sức đk rất cao m",5.047325611114502
2,"pediasure đi mom . con mình dùng đc gần __d__thg thấy chủ động ăn uống hơn mà cũng lên cân , ko táo .",1.7424743175506592
2,similac newbow mom ạ,1.7679498195648193
2,"sữa này có tăng cân dc k mom ? bé nhà m mua mấy loại pedia sure , similac , p__d__ nhưng bé chỉ uống nan thui ạ. mà nan uống k tăng kg . bé gầy lắm m ạ . 😞",4.9740495681762695
2,c cho uống similac thủe c,1.6897302865982056
2,"pediasure đi mom , con mình uống sữa này ăn uống đã lắm , ngày __d__ bữa đều đặn à mom . nhưng cũng phải đê ý cho con ngủ đúng giờ với cả vận động nhiều đó mom .",1.9111837148666382
2,sữa mẹ vẫn tốt nhất nha mom . nếu ko đủ sữa mẹ thì similac . con mình đang uống . 😀😀,4.1161065101623535
2,"khâu chọn sữa cho con quạn trọng lắm , lúc đầu mình cũng đổi đủ loại sữa nào similac , nào dielac nhưng không hợp lại nghe nhiều ng bảo friso bé tăng cân tốt lại chuyển qua dùng friso , không ngờ bé lại hợp tăng cân tốt thật",1.7007501125335693
2,mom cho bé uong similac hmo ak . k bị day hoi táo bón dau,1.697467565536499
2,trần vy vy similac bé sẽ k bị bón đó c. mà similac tốt đó g luôn ! xôi thấy cưng quá .,3.7252037525177
2,có sữa similac dành cho bé sinh non nhẹ cân đoa mom,1.7875540256500244
2,tham khảo sữa này cho bé đi chị đỗ linh vân,1.7207450866699219
2,mm tham khảo sữa cao năng lượng hoặc phát triển toàn diện friso cho bé nhé,3.1351757049560547
2,bé còn uống sữa k mom ? mom thử pedia sure xem sao,1.7276389598846436
2,thị nan oke chị .sẵn sàn tiếp nè,2.2751381397247314
2,mom cho be uống pedia sure hi mom,1.7123504877090454
2,bông trần uống lại dielac alpha gold r bổ sung thêm lysine thôi m,5.094897270202637
2,cho bé uống sữa friso ấy bạn con mình uống lên cân tốt với lại khỏe mạnh nữa,5.268801212310791
2,thèn lớn nhỏ nhà em đều uống sữa của abbott hết đó mom . hãng sữa này uy tín nên mom thử xem sao,4.685940742492676
2,mình chưa thử similac nhưng pediasure thì ổn . mom cứ yên tâm cho bé uống . ko bón gì hết,1.907495141029358
2,bạn tham khảo friso xem con em đang uống hấp thu tiêu hóa và k bị bón lên cân đều,1.7849657535552979
2,tốt ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... . ... ... ... .. ... ... ... ... ..,4.031263828277588
2,mom dặm thêm sữa cao năng lượng xem sao ạ. dòng đó tăng cân khá tốt đó mom,2.3333041667938232
2,"nguyễn thị thu hiền thế thì cứ cho bé bú mẹ ấy tốt mà , sữa mẹ tốt nhất còn muốn dặm thêm thì mom dặm friso nha cún nhà mình được hơn __d__ tháng đang uống sữa này .",1.733221411705017
2,trâm ruby 's đổi friso thử đi mom,1.745915412902832
2,optimum ak mom,1.7112042903900146
