mention_type,mention,pred
2,nếu chịu khó uống similac sẽ tốt hơn . nó nhiều chất hơn nhưng cũng khó uống hơn,6.3470563888549805
2,"friso việt cũng mát , review tăng cân tốt . nhưng mà giá cũng ko kém friso nga mấy mà friso nga đỡ ngọt hơn và nhập nguyên lon từ hà lan sao mom ko dùng nga đi ạ hihi",5.102961540222168
2,"bé nhà mình rất khó uống sữa , b tue vấn loại nào phù hợp giúp mình nha",5.290853977203369
2,nhật linh mình mua hơn __d__k __d__ lon . ngọt hơn so với những sữa khác . bé nhà mom đang ăn sữa gì,6.314936637878418
2,đợt mới dặm thêm sữa ngoài c ak . gần __d__t sang friso n ngọt hơn n thích hơn nhưg k tăng kg . h thì clinutren rùi,4.692800045013428
2,"c ơi sữa này có ngọt ko a , bé nhà e cũng dùng pediasure sợ sữa nhạt bé ko uống 😥",6.401505470275879
1,các mom ơi con e được __d__m rùi e cho bé uống sữa pediasure nhưng thấy sữa ngọt quá từ nhỏ giờ e đổi khá nhiều sữa vì bé bị trào ngược từ lúc mới sinh . có mom nào có kinh nghiệm làm sao để bé hấp thu tốt và dòng sữa nào giúp bé tăng cân và hấp thu tốt k ạ .,5.097185134887695
2,sữa mẹ ko có sữa nào bằg đâu b à chẳng qua có vị gần giống thôi . mình thấy có sữa nan và friso thì vị nó nhạt gần như sữa mẹ,6.604256629943848
2,cái sữa similac này khó uốg mà tanh lắm m thử ún đi như bọt ngọt á lê đoàn thị điển,6.410288333892822
2,"con minh cung bi di ung dam sua , dung nan ha gio chuyen qua similac total comfor thay on , dung dat nang van de can nang quan trong con khoe manh la ok mom oi",7.032615661621094
2,sữa này dễ uống ko mom ? em sợ nó ngọt gắt như nan con em nó ko chịu thì mua phí tiền,5.741446018218994
2,"sữa này khá thơm , ngậy , và dễ uống , bé bạn t u pediasure bị táo chuyển sang sữa này khen lắm , hết táo luôn",6.5219316482543945
2,"kid ngọt lắm , bé nhà e uog __d__h len __d__lang , đổi sang pediasure lại táo 😞",5.689640998840332
2,e nếm thử vị thì thấy nó ngọt vs béo hơn nan mà sao con e nó ko chịu nan mà lại chịu friso,6.559441566467285
2,"mình có uống sữa adm bao bì của tetra với combibloc ( uống sữa thừa của con ) , m thấy sữa dùng bao bì combibloc khó uống hơn vị khác với loại tetra . combibloc béo ngậy , có mùi giống đậu nành , sữa bao bì tetra thì dễ uống . nói chung mua sữa mà bao bì combibloc thì thôi ko mua nữa",7.115108489990234
2,"pediasure ngọt nên táo , với lại uống __d__th thôi r ngưng chứ k đc uống dài hạn đâu",6.419671058654785
2,similac sữa lạt nha b .. vị như sữa mẹ ... bé mình uống thì k tăng cân mấy vì bé cũng lười uống sữa,7.673352241516113
