mention_type,mention,pred
2,"em đổi tư nan nga sang meji thì bị tiêu chảy em đang cho uống nan __d__ , h đỡ tiêu chảy và hết nan __d__ thì e cho uống meji luôn hay vừa uống nan vừa uống meji các c ơi",5.75104284286499
2,huỳnh tiên số __d__ t dùng nan . sang số __d__ nan khó mua nên chuyển sang friso . t mua friso cũng __d__k thôi,5.763850212097168
2,ừk . tui cũng đang tính đổi qua sữa similac coi sao nè . ko dc thì mới thử cho uống sữa dê .,8.944926261901855
2,ở vĩnh cửu đồng nai có cửa hàng nào bán ko ạ,6.151556491851807
2,giá bso nhiêu,7.887282371520996
2,bên c có sữa nan là cho trẻ em việt nam ko ạ ?,8.565462112426758
2,hop __d__g bao nhieu tien vay,7.033806800842285
2,shop minh có nan supreme cho bé __d__th trở lên k ạ của nội địa nga ạ,5.904767036437988
2,frisolac gold __d__ gia bao nhieu vay,5.8042497634887695
2,minh toi cua hang mua thung milo cua hang k doi qua,8.535900115966797
2,mua __d__lon optimum gold __d__ bn tiền vậy ? nếu mua nhiều có tính giad khác k ?,7.834995269775391
2,"nguyễn thảo mom mua ở cua hang nào vậy ạ , mình cũng ở biên hoà",7.73317813873291
2,e ơi cho địa chỉ mua đồ cam ở đau vậy e,6.585206508636475
2,"giỏ quá đẹp quá , em cũng tranh thủ mua làm quà biếu mới được",6.130614280700684
2,friso __d__ nhiu ạ,6.974431037902832
2,sua meji so __d__ bao nhieu ạ,6.8350725173950195
2,sữa wakodo số __d__ hiện cửa hàng nào còn vậy ad ? mình ở gò vấp tphcm,6.6120805740356445
2,sữa optimum gold __d__ có khuyến mãi ko ạ,7.549566745758057
2,bn __d__ hộp ah chị,7.268250465393066
2,bao nhieu __d__ lon vay cty,8.321650505065918
2,mua sữa này ở đâu thì uy tín ạ ? đang có chương trình kmai gì ko ạ ? e đang tính mua nhiều nhiều bỏ ở nhà luôn thể,5.976166248321533
2,optimum gold __d__ giá bao nhiêu ạ,5.781447410583496
2,friso so __d__ bao nhieu __d__ họp ban . bao nhieu họp thi duoc tang qua,5.907806873321533
2,thuyan duong pediasure mom mua bn vậy,8.618173599243164
2,an nhiênn nan nga bn hộp mom,5.834717273712158
2,ơ nghệ an có bán loại này ko vậy,5.857487201690674
2,gia bao nhiu __d__ loc vậy shop,7.56488037109375
2,mình thấy friso giá cunzg hợp lí,6.8907880783081055
2,ship sua kun o quan __d__ bao nhiu vay cung,7.981182098388672
2,em muôn mua sưa . thi mua o dau dc ah,7.614943027496338
2,để e đi mua thử mới dc😍😍😍,8.57613468170166
2,sữa meji dạng thanh thì bao nhiêu tiền __d__ hộp vậy shop ?,7.6207733154296875
2,optimum gold mom mua bộ hộp vậy,6.042813301086426
2,bn vay,8.815485000610352
2,optimum gold số__d__ là giá bao nhieu vậy shop,6.547086238861084
2,sữa này dễ uống ko mom ? em sợ nó ngọt gắt như nan con em nó ko chịu thì mua phí tiền,8.685138702392578
2,"enfamil và nan all __d__ , bé nhà m uống nan all hợp tác hoen enfamil mom ạ",8.553152084350586
2,bibomart có bán nan al __d__ và enfamil lacto free care dành cho trẻ bất dung nạp lactose . hộp __d__gr . mẹ mua cho bé thử xem sao,5.8162641525268555
2,cảm ơn mom nhiều . mình sẽ chuyển loại sữa cho con .,7.243186950683594
2,sữa nayg mà hương socola mua ở các cửa hàng k có nhỉ,8.199419021606445
2,giá bnhieu hộp to vay,7.112550258636475
2,ở bắc giang đại lý nào bán sữa này vậy ad ?,5.951829433441162
2,similac __d__ __d__gr gia bao nhieu vay ad ?,5.837610244750977
2,đaikin __d__ chiều __d__btu giá bn ạ,7.760647773742676
2,bao nhju __d__ hop vay,7.716831207275391
2,cho mình hỏi bạn mua ở đâu và giá ntn vậy ạ,7.748699188232422
2,cho mình hỏi bn một hộp similac nhỏ,7.631936550140381
2,giá nhiêu __d__ thùng bạn ơi,6.270809650421143
2,enfamil hộp bao nhiêu gram ? giá bao nhiêu ?,6.029263973236084
2,"similac hmo số __d__ bé thứ __d__ nhà mình dùng cảm thấy rất hài lòng , bé lớn hết lon similac __d__ này thì phải chuyển sang grow gold __d__ + rồi . khi nào thì có loại dành cho bé hơn __d__ tuổi ạ ?",7.646446228027344
2,gia nhiêu chi,7.7050371170043945
2,nguyễn hồng hạnh similac nay mua o đau vay,6.892841339111328
2,một hộp __d__ gam này giá bao nhiêu em nhỉ,7.743061065673828
2,bao nhiêu __d__ lon sữa pediasure vậy chị ?,5.829426288604736
2,similac . __d__ . hop __d__g bao nhieu vay .,5.875393867492676
2,chỉ lon số __d__ mới được tặng thôi ạ,7.903349876403809
2,sữa này bán ở đâu vậy,6.627054691314697
2,bn tien __d__ thung pediasure vay b,7.133256435394287
2,"mình ở bình tân , muốn mua sản phẩm này hiện có ở đâu vậy a",5.834105491638184
2,anna tran ừa m cũng địh đổi nan hoặc friso . m cứ thử optimum trc thử . hj,5.938736915588379
2,ở đồng tháp mua o dau ak,8.270029067993164
2,"cho mh xin địa chỉ ở an nhơn , bình định",6.207143783569336
2,friso __d__ __d__gr nhiu v b,6.491286277770996
2,ở bắc quang hà giang thì đổi ở đâu bạn,8.745367050170898
2,cho em hoi sua enfa số __d__ có sua hộp giấy pha sẵn không chi,8.898963928222656
2,mua ở đâu mới được tặng quà,6.610574245452881
2,sữa pediasure bao nhiêu,7.2791748046875
2,"tks mom nha , chắc em phải xem lại r đổi sang similac cho con thôi",7.086407661437988
2,"cảm ơn chia sẻ thú vị và bổ ích về kinh nghiệm chọn sữa cho con của h , mình sẽ mua cho con mĩnh uống",5.7485551834106445
2,ở hà nội thì mua ở đâu ạ ?,5.897668838500977
2,bn vay chi,8.742724418640137
2,"em ở quận __d__ , xin cho em hỏi địa chỉ nhận quà ở đâu ạ ?",8.717398643493652
2,pediasure vị socola bn hộp z chị,6.294274806976318
2,sữa bột fiso số __d__ giá bai nhiêu ạ,6.4488701820373535
2,mấy mom kcho con uống sữa gì . bé nhà em đút sữa nan fiso k chịu . mà tvia e mua optimum thì chịu lắm,5.759427070617676
2,sữa nan __d__ cho bé bao nhiêu ạ,5.761765003204346
2,cho hỏi abot grow __d__ giá s v,7.508890628814697
2,cho mình hỏi sữa glico __d__g số __d__ hàng nội địa bao nhiêu __d__ lon,5.757474422454834
2,mình có thể đặt mua ở đâu z,6.826188087463379
2,"bao nhiêu tiền __d__ lốc sữa , và nếu mua __d__ thùng thì có giảm hơn ko ạ ? cho em xin giá lun ạ. em cảm ơn !",7.8897223472595215
2,nguyễn huyền sửa nan ma.sao mom kêu sửa lan.e cung cho bé uống sửa nan úc y mom,5.832773208618164
2,frisolac __d__ -__d__g.bao nhieu t vay,8.818924903869629
2,giá bao nhiu __d__ thùng ạ ?,8.356473922729492
2,lon friso __d__g đó nay có giá nhiêu chị ơi,5.8133039474487305
2,mua sữa này ở đâu chị nhỉ em cũng thích cho bé uống sữa nội,7.1504316329956055
2,hop bao nhieu gr vay . giá bao nhieu,8.755207061767578
2,sữa nan __d__ lớn mua __d__ hộp đc tặng gì ko vậy ad ơi,5.834437370300293
2,mua sữa sữa pediasure ở đâu vậy nàng ơi,7.211792945861816
2,frisolac gold step __d__ __d__g giá thế nào ạ,6.561075687408447
2,o an giang lien he mua o đau vay ban,7.371140956878662
2,hộp __d__gam bao nhieu ah,6.288583755493164
2,sữa này giá có cao không chị ? bé nhà e thấp còi uống ổn không c,6.621878623962402
2,cho mình hỏi quận bình tân mua ở đâu sẽ có km này,5.76651668548584
2,cho mình xin địa chỉ các đại lý bán sữa này tại đà nẵng ạ ?,5.744897365570068
2,địa chỉ của cửa hàng mình ở đâu vậy,6.19075870513916
2,mình muốn mua sữa tươi này thì mua ở đâu hả bạn ?,7.099835395812988
2,mình ở hd.ib mình gửi địa chỉ nhe,8.937246322631836
2,sữa optimom __d__ giá bn shop ? có quà tặng j k,5.914261341094971
2,ơ đâu bán vậy ạ bao nhiêu tiền __d__ tuýp .,6.269177436828613
2,"nhiều mẹ khen similac tăng cân đều nhỉ ? em đang tìm hiểu để đổi sữa cho con , chắc mua similac cho con uống",5.881774425506592
